question_idx,question_text,answer,gt_answer,em,f1,reward,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,framework,status
4373,Claim: Edgar Wright is a singer.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,3,0,4064,127,4191,self_reflection,success
4411,Claim: Black Canary is a character in Batman comic books.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,4264,652,4916,self_reflection,success
7752,Claim: Noah Cyrus is the youngest daughter of Garth Brooks.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,8,0,13497,484,13981,self_reflection,success
2078,Claim: Yandex functions in Turkey.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,3,0,4177,537,4714,self_reflection,success
7777,Claim: The Cincinnati Kid was announced by Norman Jewison.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,4019,575,4594,self_reflection,success
7398,Claim: Viola Davis has played supporting and minor roles in radio and theater.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,4108,272,4380,self_reflection,success
2021,Claim: Miranda Otto is the only sister of actress Gracie Otto.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,4,0,5066,229,5295,self_reflection,success
8755,Claim: Unfree labor is a result of human trafficking.,SUPPORTS,NOT ENOUGH INFO,0.0,0.0,0.0,6,0,8664,386,9050,self_reflection,success
4242,Claim: The Indian Army comprises a lot of people.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,4,0,5272,266,5538,self_reflection,success
5880,Claim: Melancholia was directed solely by an American gymnast.,REFUTES,REFUTES,1.0,1.0,1.0,6,0,8485,425,8910,self_reflection,success
4795,"Claim: Alice Cooper was born on July 3rd, 1922.",REFUTES,REFUTES,1.0,1.0,1.0,3,0,4199,143,4342,self_reflection,success
9500,Claim: The White House Press Secretary is an official.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,3,0,4077,116,4193,self_reflection,success
344,Claim: Chaka Khan has released at least five studio albums.,SUPPORTS,NOT ENOUGH INFO,0.0,0.0,0.0,4,0,5130,165,5295,self_reflection,success
2194,"Claim: The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,8,0,11867,455,12322,self_reflection,success
3125,Claim: Keith Urban is the second studio album by Keith Urban and was released in 1999.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,5,0,6840,444,7284,self_reflection,success
7350,Claim: Yandex operates in Lithuania.,NOT ENOUGH INFO,REFUTES,0.0,0.0,0.0,3,0,4176,346,4522,self_reflection,success
4187,Claim: Tilda Swinton is vegan.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,3914,587,4501,self_reflection,success
1564,Claim: Vedam has Deeksha Seth in a starring role.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,4,0,5062,178,5240,self_reflection,success
8501,Claim: Colin Kaepernick plays for the Patriots.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,4071,185,4256,self_reflection,success
7826,Claim: Entourage (film) was filmed in England.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,4,0,5212,593,5805,self_reflection,success
2634,Claim: Annette Badland has yet to be in a soap opera.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,4220,146,4366,self_reflection,success
6223,Claim: Rob Sheridan was born in 1980.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,4378,112,4490,self_reflection,success
2939,Claim: Tata Motors is a constituent of the Boston Stock Exchange.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,6,0,8074,427,8501,self_reflection,success
7736,Claim: Mickey Rourke appeared in a 2011 film.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,6,0,8813,698,9511,self_reflection,success
6431,Claim: Don Hall is a critic of Walt Disney Animation Studios.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,4,0,5234,203,5437,self_reflection,success
8853,Claim: Australia (2008 film) production took place only in Russia.,REFUTES,REFUTES,1.0,1.0,1.0,4,0,5396,239,5635,self_reflection,success
8292,Claim: Dakota Fanning is not an actress.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,4160,135,4295,self_reflection,success
4922,Claim: Jackpot is exclusively a novel.,REFUTES,REFUTES,1.0,1.0,1.0,4,0,5109,638,5747,self_reflection,success
9578,Claim: Mike Huckabee hosts an annual global warming conference.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,4201,185,4386,self_reflection,success
6280,Claim: Always features a British actress.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,6,0,8251,259,8510,self_reflection,success
5545,Claim: Tatum O'Neal married Maria Sharapova.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,4,0,5486,242,5728,self_reflection,success
8144,Claim: Warner Bros. released Avenged Sevenfold.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,3,0,4038,581,4619,self_reflection,success
9250,Claim: Melancholia stars Kirsten Dunst as Winnie the Pooh.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,8,0,14060,772,14832,self_reflection,success
2632,Claim: Angela Bassett is vegetarian.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,4111,184,4295,self_reflection,success
1652,Claim: Al Jardine refuses to play all musical instruments.,REFUTES,REFUTES,1.0,1.0,1.0,4,0,5419,217,5636,self_reflection,success
234,Claim: Michael Vick is only Armenian.,NOT ENOUGH INFO,REFUTES,0.0,0.0,0.0,5,0,6490,249,6739,self_reflection,success
5535,Claim: Anne Rice was born in the United States in the 1970's.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,4101,156,4257,self_reflection,success
2432,Claim: Bruce Shand was awarded a medal.,NOT ENOUGH INFORMATION,NOT ENOUGH INFO,0.0,0.0,0.0,7,0,9752,538,10290,self_reflection,success
3854,Claim: Juventus Stadium in Turin is the home stadium for Juventus F.C.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,3,0,4535,142,4677,self_reflection,success
