Query ID|Query|Entities Extracted by Scout|Passports|Bridge Query|Generated Bridge Candidates|Bridge Actions|GT|Nexus Answer|Nexus Success or Fail
1914|In 2011, the male population of Uparale, a village in the Palghar district of Maharashtra, India, is bigger than its female population.|['Uparale', 'Palghar district', 'Maharashtra', 'India']|4: Uparale, Palghar district, Maharashtra, India|The provided passports confirm the geographical location of Uparale (village in Palghar district, Maharashtra, India) but do not contain any information about its population, specifically the male and female populations in 2011.|['Search[Uparale village 2011 population male female]', 'TableLookup[Uparale population 2011]']|Bridge Attempt 1 (search[Uparale village 2011 population male female]) -> Invalid, retrying with 'Uparale' // Bridge Retry (search[Uparale]) -> Success // Bridge Attempt 2 (table_lookup[Uparale population 2011]) -> Success: Found in Table 0 (Score: 3/3):|SUPPORTS|NOT ENOUGH INFO|Fail
224|Beyond All Boundaries includes stars like Kevin Bacon and Tom Hanks in their second movie together.|['Beyond All Boundaries', 'Kevin Bacon', 'Tom Hanks']|3: Beyond All Boundaries, Kevin Bacon, Tom Hanks|"The passports confirm Tom Hanks is involved in ""Beyond All Boundaries"" as a narrator, but there is no mention of Kevin Bacon in relation to the film, nor is there any information about Tom Hanks and Kevin Bacon having been in two movies together."|['Search[Beyond All Boundaries cast]', 'Search[Kevin Bacon filmography]', 'Search[Tom Hanks filmography]']|"Bridge Attempt 1 (search[Beyond All Boundaries cast]) -> Invalid, retrying with 'Beyond All Boundaries' // Bridge Retry (search[Beyond All Boundaries]) -> Success // Bridge Attempt 2 (search[Kevin Bacon filmography]) -> Success: The following is the filmography for actor [[Kevin_Bacon\|Kevin Bacon]].. His most notable roles have been in [[Animal_House\|National Lampoon's Animal House]] (1978), [[Friday_the_13th_(1980_film)\|Friday the 13th]] (1980), [[Diner_(1982_film)\|Diner]] (1982), [[Footloose_(1984_film)\|Footloose]] (1984), [[Quicksilver_(film)\|Quicksilver]] (1986), [[She's_Having_a_Baby\|She's Having a Baby]] (1988), [[Flatliners\|Flatliners]] and [[Tremors_(film)\|Tremors]] (both 1990), [[He_Said,_She_Said_(film)\|He Said, She Said]] and [[JFK_(film)\|JFK]] (both 1991), [[A_Few_Good_Men\|A Few Good Men]] (1992), [[The_River_Wild\|The River Wild]] (1994), [[Murder_in_the_First_(film)\|Murder in the First]] and [[Apollo_13_(film)\|Apollo 13]] (both 1995), [[Sleepers\|Sleepers]] (1996), [[Wild_Things_(film)\|Wild Things]] (1998), [[Stir_of_Echoes\|Stir of Echoes]] (1999), [[Hollow_Man\|Hollow Man]] and [[My_Dog_Skip_(film)\|My Dog Skip]] (both 2000), [[Trapped_(2002_film)\|Trapped]] (2002), [[Mystic_River_(film)\|Mystic River]] (2003), [[The_Woodsman_(2004_film)\|The Woodsman]] (2004), [[Death_Sentence_(2007_film)\|Death Sentence]] (2007), [[Nixon_(film)\|Frost/Nixon]] (2008), X-Men: First Class and [[Crazy,_Stupid,_Love\|Crazy, Stupid, Love]] (both 2011), [[Black_Mass_(film)\|Black Mass]] (2015), [[Patriots_Day_(film)\|Patriots Day]] (2016) and [[The_Darkness_(film)\|The Darkness]] (2016). In 2009, he starred in the television movie [[Taking_Chance\|Taking Chance]], for which he won a [[Golden_Globe_Award_for_Best_Actor_–_Miniseries_or_Television_Film\|Golden Globe Award for Best Actor – Miniseries or Television Film]] and the [[Screen_Actors_Guild_Award_for_Outstanding_Performance_by_a_Male_Actor_in_a_Miniseries_or_Television_Movie\|Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Miniseries or Television Movie]].. He had previously won a Screen Actors Guild Award in 1995 as part of the ensemble cast of [[Apollo_13_(film)\|Apollo 13]].. In 2013, Bacon starred in the [[Fox_Broadcasting_Company\|Fox]] television series [[The_Following\|The Following]] in his first regular role on television, for which he won a [[Saturn_Award_for_Best_Actor_on_Television\|Saturn Award for Best Actor on Television]].. // Bridge Attempt 3 (search[Tom Hanks filmography]) -> Success: Tom Hanks is an American actor and filmmaker who has had an extensive career in film, television and stage. Hanks made his professional acting debut on stage, playing Grumio in a 1977 Great Lakes Theater production of The Taming of the Shrew.[1] He made his film debut with a minor role in the 1980 horror film, He Knows You're Alone.[2] In the same year, Hanks appeared in the television series Bosom Buddies, a role that led to guest appearances on several shows, including Happy Days with Ron Howard. Howard cast him in his first leading role in the Ron Howard-directed fantasy romantic comedy, Splash.[3] His breakthrough role was in Penny Marshall's age-changing comedy, Big, for which he garnered his first nomination for the Academy Award for Best Actor.[4][5]. In 1993, Hanks starred with Meg Ryan in the Nora Ephron-directed romantic comedy, Sleepless in Seattle. Later that year, he starred in the drama Philadelphia as a gay lawyer with AIDS fighting discrimination in his law firm.[6] For his performance, Hanks earned his first Academy Award for Best Actor.[7] He followed with the 1994 romantic comedy-drama, Forrest Gump, winning a consecutive second Academy Award for Best Actor (the first actor since Spencer Tracy in 1938 to achieve this feat).[8] In 1995, he played astronaut Jim Lovell in the Howard-directed historical drama Apollo 13, and voiced Sheriff Woody in the animated film Toy Story (a role that he would reprise in four sequels).."|NOT ENOUGH INFO|REFUTES|Fail
901|Rimma Ivanova worked as a teacher in the village of Petrovskoye before volunteering as a nurse in the Russian army in 1915.|['Rimma Ivanova', 'Petrovskoye', 'Russian army']|3: Rimma Ivanova, Petrovskoye, Russian army|The passports confirm Rimma Ivanova's existence and dates, and define Petrovskoye and the Russian army. However, there is no information linking Rimma Ivanova to working as a teacher in Petrovskoye or volunteering as a nurse in the Russian army in 1915.|['Search[Rimma Ivanova teacher Petrovskoye]', 'Search[Rimma Ivanova nurse Russian army 1915]', 'Lookup[teacher]']|"Bridge Attempt 1 (search[Rimma Ivanova teacher Petrovskoye]) -> Invalid, retrying with 'Rimma Ivanova' // Bridge Retry (search[Rimma Ivanova]) -> Success // Bridge Attempt 2 (search[Rimma Ivanova nurse Russian army 1915]) -> Invalid, retrying with 'Rimma Ivanova' // Bridge Retry (search[Rimma Ivanova]) -> Success // Bridge Attempt 3 (lookup[teacher]) -> Success: (Result 1 / 1) She worked as a [[Zemstvo\|zemstvo]] school teacher in the village of Petrovskoye (now [[Svetlograd\|Svetlograd]] town).."|SUPPORTS|NOT ENOUGH INFO|Fail
6948|Despite engine problems and encountering a collision, Clay Regazzoni and John Watson were able to obtain the sixth and seventh position in the 1979 Dutch Grand Prix.|['Clay Regazzoni', 'John Watson', 'Dutch Grand Prix']|3: Clay Regazzoni, John Watson, Dutch Grand Prix|The passports provide general information about Clay Regazzoni, John Watson, and the Dutch Grand Prix, but none of them mention the 1979 Dutch Grand Prix specifically, nor do they mention the finishing positions of Clay Regazzoni or John Watson in any race, or any engine problems or collisions.|['Search[1979 Dutch Grand Prix results]', 'Search[Clay Regazzoni 1979 Dutch Grand Prix]', 'Search[John Watson 1979 Dutch Grand Prix]']|Bridge Attempt 1 (search[1979 Dutch Grand Prix results]) -> Invalid, retrying with '1979 Dutch Grand Prix' // Bridge Retry (search[1979 Dutch Grand Prix]) -> Success // Bridge Attempt 2 (search[Clay Regazzoni 1979 Dutch Grand Prix]) -> Invalid, retrying with '1975 Dutch Grand Prix' // Bridge Retry (search[1975 Dutch Grand Prix]) -> Success // Bridge Attempt 3 (search[John Watson 1979 Dutch Grand Prix]) -> Invalid, retrying with '1979 Dutch Grand Prix' // Bridge Retry (search[1979 Dutch Grand Prix]) -> Success|REFUTES|REFUTES|Success
3902|Dik Manusch was a street newspaper published at a cost for migrants in northern Sweden in early 2015.|['Dik Manusch', 'Sweden']|2: Dik Manusch, Sweden|"The passports confirm Dik Manusch was a street newspaper founded in 2015 in Sweden. However, there is no information about it being published ""at a cost for migrants"" or specifically in ""northern Sweden""."|['Search[Dik Manusch target audience]', 'Search[Dik Manusch publication location]', 'Lookup[migrants]']|Bridge Attempt 1 (search[Dik Manusch target audience]) -> Invalid, retrying with 'Street newspaper' // Bridge Retry (search[Street newspaper]) -> Success // Bridge Attempt 2 (search[Dik Manusch publication location]) -> Invalid, retrying with 'Street News (category Publications with year of disestablishment missing)' // Bridge Retry (search[Street News (category Publications with year of disestablishment missing)]) -> Also failed // Bridge Attempt 3 (lookup[migrants]) -> Success: No more results.|NOT ENOUGH INFO|NOT ENOUGH INFO|Success
7684|"Astronesian language Lampung has been classified in the ""Malayic Hesion"" and ""Javo-Sumatra Hesion"" along with the Malay language, mostly spoken in Brunei, Indonesia, Malaysia and Singapore."|['Lampung', 'Malayic Hesion', 'Malayic languages', 'Javo-Sumatra Hesion', 'Javanese language', 'Malay language', 'Brunei', 'Indonesia', 'Malaysia', 'Singapore']|10: Lampung, Malayic Hesion, Malayic languages, Javo-Sumatra Hesion, Javanese language, Malay language, Brunei, Indonesia, Malaysia, Singapore|"The passports provide information about Lampung, Malayic languages, Javanese language, Malay language, and the countries where Malay is spoken. However, there is no direct information in the provided passports that classifies the Lampung language into the ""Malayic Hesion"" or ""Javo-Sumatra Hesion"" or explicitly links it to the Malay language in terms of linguistic classification."|['Search[Lampung language classification]', 'Search[Malayic Hesion]', 'Search[Javo-Sumatra Hesion]']|Bridge Attempt 1 (search[Lampung language classification]) -> Invalid, retrying with 'Lampung language' // Bridge Retry (search[Lampung language]) -> Success // Bridge Attempt 2 (search[Malayic Hesion]) -> Invalid, retrying with 'Malayic languages' // Bridge Retry (search[Malayic languages]) -> Success // Bridge Attempt 3 (search[Javo-Sumatra Hesion]) -> Invalid, retrying with 'Javanese language' // Bridge Retry (search[Javanese language]) -> Success|SUPPORTS|NOT ENOUGH INFO|Fail
6981|There are multiple high schools in Honolulu, Hawaii such as Farrington High School, Kaimukī High School, McKinley High School (which is the oldest one in Honolulu), and Radford High School.|['Honolulu', 'Hawaii', 'Farrington High School', 'Kaimukī High School', 'McKinley High School', 'Radford High School']|6: Honolulu, Hawaii, Farrington High School, Kaimukī High School, McKinley High School, Radford High School|The passports confirm the existence of multiple high schools in Honolulu (Kaimukī, McKinley, Radford). Farrington High School is also mentioned, but its location in Honolulu is not explicitly stated in its passport. The claim that McKinley High School is the oldest in Honolulu is not confirmed or denied.|['Search[Farrington High School Honolulu]', 'Search[oldest high school Honolulu Hawaii]']|Bridge Attempt 1 (search[Farrington High School Honolulu]) -> Invalid, retrying with 'Farrington High School' // Bridge Retry (search[Farrington High School]) -> Success // Bridge Attempt 2 (search[oldest high school Honolulu Hawaii]) -> Invalid, retrying with 'Honolulu' // Bridge Retry (search[Honolulu]) -> Success|SUPPORTS|NOT ENOUGH INFO|Fail
7298|In the third round of the 1909–10 Welsh Amateur Cup, the 20th season of the Welsh Amateur Cup, Bangor Reserves won against Holyhead Swifts with 5-3 score.|['Welsh Amateur Cup', 'Bangor Reserves', 'Bangor City F.C.', 'Holyhead Swifts', 'Port of Holyhead']|5: Welsh Amateur Cup, Bangor Reserves, Bangor City F.C., Holyhead Swifts, Port of Holyhead|The passports confirm the existence of the Welsh Amateur Cup and its name change, and mention Bangor City F.C. and Holyhead. However, none of the passports provide specific details about the 1909–10 season, the third round, or the match between Bangor Reserves and Holyhead Swifts, including the score. Therefore, there is a gap in information to verify the claim.|['Search[1909–10 Welsh Amateur Cup]', 'Lookup[Bangor Reserves Holyhead Swifts]', 'TableLookup[1909–10 Welsh Amateur Cup results]']|"Bridge Attempt 1 (search[1909–10 Welsh Amateur Cup]) -> Success: [H] Country \| [[Wales\|Wales]]. [H] Defending champions \| [[Carnarvon_United\|Carnarvon United]]. [H] Champions \| Johnstown Amateurs. [H] Runners-up \| Bangor Reserves. The 1909–10 Welsh Amateur Cup was the 20th season of the [[FAW_Trophy\|Welsh Amateur Cup]].. // Bridge Attempt 2 (lookup[Bangor Reserves Holyhead Swifts]) -> Success: No more results. // Bridge Attempt 3 (table_lookup[1909–10 Welsh Amateur Cup results]) -> Success: Found in Table 2 (Score: 2/5):"|SUPPORTS|NOT ENOUGH INFO|Fail
412|Saeed Murjan competed in the FIFA World Cup, WAFF Championship, AFC Asian Cup including friendly matches since 2011.|['Saeed Murjan', 'FIFA World Cup', 'WAFF Championship', 'AFC Asian Cup']|4: Saeed Murjan, FIFA World Cup, WAFF Championship, AFC Asian Cup|The passports provide information about Saeed Murjan's personal details and general information about the FIFA World Cup, WAFF Championship, and AFC Asian Cup. However, there is no information linking Saeed Murjan to his participation in any of these tournaments or friendly matches since 2011.|['Search[Saeed Murjan career statistics]', 'Search[Saeed Murjan international appearances]', 'Lookup[Saeed Murjan FIFA World Cup WAFF Championship AFC Asian Cup]']|Bridge Attempt 1 (search[Saeed Murjan career statistics]) -> Failed (No results) // Bridge Attempt 2 (search[Saeed Murjan international appearances]) -> Invalid, retrying with 'Saeed Murjan' // Bridge Retry (search[Saeed Murjan]) -> Success // Bridge Attempt 3 (lookup[Saeed Murjan FIFA World Cup WAFF Championship AFC Asian Cup]) -> Success: No more results.|SUPPORTS|NOT ENOUGH INFO|Fail
7622|In 2006 the population of Natenga within Kougoure, Burkina Faso was more than Naraghins.|['Natenga', 'Korsimoro Department', 'Kougoure', 'Burkina Faso', 'Naraghins']|5: Natenga, Korsimoro Department, Kougoure, Burkina Faso, Naraghins|"The provided passports define ""Korsimoro"" and ""Kougoure"" as locations in Burkina Faso, and provide general information about Burkina Faso. However, none of the passports mention ""Natenga"" or ""Naraghins"", nor do they provide any population data for any location in 2006. Therefore, it's impossible to verify the claim about the population of Natenga within Kougoure compared to Naraghins."|['Search[Natenga population 2006]', 'Search[Naraghins population 2006]', 'Search[Kougoure population 2006]']|Bridge Attempt 1 (search[Natenga population 2006]) -> Invalid, retrying with 'Nondo, Gounghin' // Bridge Retry (search[Nondo, Gounghin]) -> Success // Bridge Attempt 2 (search[Naraghins population 2006]) -> Invalid, retrying with 'Kougoure' // Bridge Retry (search[Kougoure]) -> Success // Bridge Attempt 3 (search[Kougoure population 2006]) -> Invalid, retrying with 'Kougoure' // Bridge Retry (search[Kougoure]) -> Success|REFUTES|NOT ENOUGH INFO|Fail
