question_idx,question_text,gt_answer,answer_prog,em_prog,n_calls_prog,total_tokens_prog,answer_react,em_react,n_calls_react,total_tokens_react,answer_reflexion,em_reflexion,n_calls_reflexion,total_tokens_reflexion
4373,Claim: Edgar Wright is a singer.,NOT ENOUGH INFO,REFUTES,0,2,2504,REFUTES,0,2,2002,REFUTES,0.0,21,30742
4411,Claim: Black Canary is a character in Batman comic books.,NOT ENOUGH INFO,SUPPORTS,0,3,4323,NOT ENOUGH INFO,1,2,2143,NOT ENOUGH INFO,1.0,3,2143
7752,Claim: Noah Cyrus is the youngest daughter of Garth Brooks.,NOT ENOUGH INFO,REFUTES,0,3,3985,NOT ENOUGH INFO,1,7,10774,NOT ENOUGH INFO,1.0,8,10759
2078,Claim: Yandex functions in Turkey.,SUPPORTS,SUPPORTS,1,3,4130,NOT ENOUGH INFO,0,2,2068,NOT ENOUGH INFO,0.0,43,82026
7777,Claim: The Cincinnati Kid was announced by Norman Jewison.,NOT ENOUGH INFO,REFUTES,0,2,2493,NOT ENOUGH INFO,1,2,1981,NOT ENOUGH INFO,1.0,3,1981
7398,Claim: Viola Davis has played supporting and minor roles in radio and theater.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,3,4020,NOT ENOUGH INFO,1,2,2059,NOT ENOUGH INFO,1.0,3,2045
2021,Claim: Miranda Otto is the only sister of actress Gracie Otto.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,2,2523,NOT ENOUGH INFO,1,3,3058,NOT ENOUGH INFO,1.0,4,3062
8755,Claim: Unfree labor is a result of human trafficking.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,7,11216,SUPPORTS,0,6,7917,NOT ENOUGH INFO,1.0,15,20529
4242,Claim: The Indian Army comprises a lot of people.,SUPPORTS,NOT ENOUGH INFO,0,1,1153,NOT ENOUGH INFO,0,3,3130,NOT ENOUGH INFO,0.0,44,78066
5880,Claim: Melancholia was directed solely by an American gymnast.,REFUTES,NOT ENOUGH INFO,0,7,12113,REFUTES,1,5,6051,REFUTES,1.0,5,4518
