question_idx|question_text|answer|gt_answer|em|f1|reward|n_calls|n_badcalls|input_tokens|output_tokens|total_tokens|num_trials|max_trials|framework|action_pruned_happen|context_pruned_happen|total_pruning
4373|Claim: Edgar Wright is a singer.|REFUTES|NOT ENOUGH INFO|0.0|0.0|0.0|21|0|31159|1555|32714|7|7|reflexion_pruning|0|14|14
4411|Claim: Black Canary is a character in Batman comic books.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|4|0|3583|262|3845|1|7|reflexion_pruning|0|3|3
7752|Claim: Noah Cyrus is the youngest daughter of Garth Brooks.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|10|0|12822|592|13414|2|7|reflexion_pruning|1|6|7
2078|Claim: Yandex functions in Turkey.|SUPPORTS|SUPPORTS|1.0|1.0|1.0|4|0|3577|120|3697|1|7|reflexion_pruning|0|2|2
7777|Claim: The Cincinnati Kid was announced by Norman Jewison.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|3|0|2132|120|2252|1|7|reflexion_pruning|0|2|2
7398|Claim: Viola Davis has played supporting and minor roles in radio and theater.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|5|0|4902|256|5158|1|7|reflexion_pruning|0|3|3
2021|Claim: Miranda Otto is the only sister of actress Gracie Otto.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|3|0|2128|110|2238|1|7|reflexion_pruning|0|2|2
8755|Claim: Unfree labor is a result of human trafficking.|SUPPORTS|NOT ENOUGH INFO|0.0|0.0|0.0|22|0|32459|1877|34336|7|7|reflexion_pruning|0|16|16
4242|Claim: The Indian Army comprises a lot of people.|SUPPORTS|SUPPORTS|1.0|1.0|1.0|13|0|17447|898|18345|3|7|reflexion_pruning|1|6|7
5880|Claim: Melancholia was directed solely by an American gymnast.|REFUTES|REFUTES|1.0|1.0|1.0|10|0|14361|529|14890|2|7|reflexion_pruning|1|12|13
4795|Claim: Alice Cooper was born on July 3rd, 1922.|REFUTES|REFUTES|1.0|1.0|1.0|3|0|2218|75|2293|1|7|reflexion_pruning|0|2|2
9500|Claim: The White House Press Secretary is an official.|SUPPORTS|SUPPORTS|1.0|1.0|1.0|3|0|2180|79|2259|1|7|reflexion_pruning|0|2|2
344|Claim: Chaka Khan has released at least five studio albums.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|4|0|3730|133|3863|1|7|reflexion_pruning|1|2|3
2194|Claim: The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.|SUPPORTS|SUPPORTS|1.0|1.0|1.0|4|0|3577|106|3683|1|7|reflexion_pruning|0|2|2
3125|Claim: Keith Urban is the second studio album by Keith Urban and was released in 1999.|SUPPORTS|SUPPORTS|1.0|1.0|1.0|10|0|12792|727|13519|2|7|reflexion_pruning|1|8|9
7350|Claim: Yandex operates in Lithuania.|NOT ENOUGH INFO|REFUTES|0.0|0.0|0.0|36|0|56620|2736|59356|7|7|reflexion_pruning|8|28|36
4187|Claim: Tilda Swinton is vegan.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|4|0|3373|121|3494|1|7|reflexion_pruning|0|3|3
1564|Claim: Vedam has Deeksha Seth in a starring role.|SUPPORTS|SUPPORTS|1.0|1.0|1.0|8|0|9145|651|9796|2|7|reflexion_pruning|0|8|8
8501|Claim: Colin Kaepernick plays for the Patriots.|REFUTES|REFUTES|1.0|1.0|1.0|3|0|2138|91|2229|1|7|reflexion_pruning|0|2|2
7826|Claim: Entourage (film) was filmed in England.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|10|0|12183|733|12916|2|7|reflexion_pruning|1|7|8
