question_idx,question_text,answer,gt_answer,em,f1,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,action_pruned_happen,context_pruned_happen,total_pruning
672,Question: Angelo Francesco Lavignino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred who?,null,Orson Welles,0,0.0,63,7,185681,11705,197386,0,0,0
1102,"Question: Which publication still relies on paper printing, Human Events or Texas Highways? ",Texas Highways,Texas Highways,1,1.0,4,0,6026,132,6158,0,0,0
1169,Question:  Ravi Khote:has included his music in which 2003 Indian drama?,Kal Ho Naa Ho,Kal Ho Naa Ho,1,1.0,4,0,6035,219,6254,0,0,0
1399,Question: Was Pocahontas made before Born in China?,Yes,yes,1,1.0,6,0,10636,329,10965,0,0,0
1472,Question: Which airline hub does Japan Air Commuter and Japan Airlines share in common?,Itami Airport,Osaka International Airport,0,0.4,4,0,6387,212,6599,0,0,0
1873,"Question: Which band was formed first, Fitz and The Tantrums or The Contortionist?",The Contortionist,The Contortionist,1,1.0,5,1,6098,147,6245,0,0,0
1888,Question: Who was the football manager that played in the Football League Cup in 1985 and managed to lead the Birmingham City Football Club's 103rd season to finish in the 18th position?,null,"Stephen Roger ""Steve"" Bruce",0,0.0,46,1,139597,8992,148589,0,0,0
2587,"Question: In what regions of the United States is the Eastern Market, Detroit located?",Midwestern United States,Great Lakes and Midwestern,0,0.28571428571428575,33,0,78288,3300,81588,0,0,0
3469,Question: What is 25 miles south of Groom Lake?,null,"Rachel, Nevada",0,0.0,27,0,64818,2657,67475,0,0,0
3545,"Question: ""Heartbreak Hurricane"" was recorded by which country artist, that also goes by the name Ricky Skaggs?",Ricky Skaggs,Rickie Lee Skaggs,0,0.4,3,0,3903,274,4177,0,0,0
3600,"Question: Trilochanapala, last king of the Kabul Shahi dynasty, ruled in the site of which modern country?",Afghanistan,Afghanistan,1,1.0,11,0,27098,1831,28929,0,0,0
3619,"Question: The terminology of algebraic geometry changed drastically with the introduction of the general methods, initiated by a mathematician of what nationality?",French,German,0,0.0,30,0,74850,3960,78810,0,0,0
3699,"Question: How many albums have been sold by the singer who released the 2002 single ""Sk8er Boi""?  ",50 million,40 million,0,0.5,30,0,69421,1669,71090,0,0,0
3726,Question: What is the nationality of the illustrator of Chaos Marauders?,British,British,1,1.0,6,0,10132,264,10396,0,0,0
4569,"Question: The royal anthem is changed from what to ""long live our noble Duke""?",God Save our gracious King,Long live our noble Queen,0,0.20000000000000004,33,0,90883,5946,96829,0,0,0
5490,Question: What type of art does The Consul and Arlecchino have in common?,Dramatic arts,music,0,0.0,33,2,86848,5348,92196,0,0,0
6679,"Question: What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage?",Orthoflavivirus,Flavivirus,0,0.0,33,1,91296,4567,95863,0,0,0
6883,Question: What type of area did Michel Thomas work in when he was in the French Resistance?,rural guerrilla bands in the mountains and forests,rural,0,0.25,9,0,17173,760,17933,0,0,0
6905,"Question: ""The Parasite"" is a kind of text that has how many words?","between 17,500 and 40,000 words","between 7,500 and 40,000",0,0.6666666666666665,7,0,12554,481,13035,0,0,0
7385,,,,0,0.0,0,0,0,0,0,0,0,0
