question_idx,question_text,answer,gt_answer,em,f1,reward,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,framework,status
4373,Claim: Edgar Wright is a singer.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,6,0,9435,255,9690,cot_sc,success
4411,Claim: Black Canary is a character in Batman comic books.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,7,0,11748,858,12606,cot_sc,success
7752,Claim: Noah Cyrus is the youngest daughter of Garth Brooks.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,21,0,33200,1803,35003,cot_sc,success
2078,Claim: Yandex functions in Turkey.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,6,0,9776,351,10127,cot_sc,success
7777,Claim: The Cincinnati Kid was announced by Norman Jewison.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,6,0,9352,318,9670,cot_sc,success
7398,Claim: Viola Davis has played supporting and minor roles in radio and theater.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,6,0,9697,566,10263,cot_sc,success
2021,Claim: Miranda Otto is the only sister of actress Gracie Otto.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,9,0,12613,1044,13657,cot_sc,success
8755,Claim: Unfree labor is a result of human trafficking.,SUPPORTS,NOT ENOUGH INFO,0.0,0.0,0.0,19,1,29795,1838,31633,cot_sc,success
4242,Claim: The Indian Army comprises a lot of people.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,14,0,20930,735,21665,cot_sc,success
5880,Claim: Melancholia was directed solely by an American gymnast.,REFUTES,REFUTES,1.0,1.0,1.0,13,1,19358,991,20349,cot_sc,success
4795,"Claim: Alice Cooper was born on July 3rd, 1922.",REFUTES,REFUTES,1.0,1.0,1.0,11,0,17569,779,18348,cot_sc,success
9500,Claim: The White House Press Secretary is an official.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,6,0,9496,252,9748,cot_sc,success
344,Claim: Chaka Khan has released at least five studio albums.,SUPPORTS,NOT ENOUGH INFO,0.0,0.0,0.0,9,0,13440,444,13884,cot_sc,success
2194,"Claim: The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,17,0,27055,962,28017,cot_sc,success
3125,Claim: Keith Urban is the second studio album by Keith Urban and was released in 1999.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,9,0,12883,567,13450,cot_sc,success
7350,Claim: Yandex operates in Lithuania.,NOT ENOUGH INFO,REFUTES,0.0,0.0,0.0,8,0,12317,527,12844,cot_sc,success
4187,Claim: Tilda Swinton is vegan.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,8,0,11300,388,11688,cot_sc,success
1564,Claim: Vedam has Deeksha Seth in a starring role.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,9,0,12505,686,13191,cot_sc,success
8501,Claim: Colin Kaepernick plays for the Patriots.,REFUTES,REFUTES,1.0,1.0,1.0,6,0,9474,442,9916,cot_sc,success
7826,Claim: Entourage (film) was filmed in England.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,13,0,19506,938,20444,cot_sc,success
2634,Claim: Annette Badland has yet to be in a soap opera.,REFUTES,REFUTES,1.0,1.0,1.0,7,0,11168,367,11535,cot_sc,success
6223,Claim: Rob Sheridan was born in 1980.,REFUTES,REFUTES,1.0,1.0,1.0,8,1,13206,296,13502,cot_sc,success
2939,Claim: Tata Motors is a constituent of the Boston Stock Exchange.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,12,0,17068,855,17923,cot_sc,success
7736,Claim: Mickey Rourke appeared in a 2011 film.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,20,0,31927,1603,33530,cot_sc,success
6431,Claim: Don Hall is a critic of Walt Disney Animation Studios.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,9,0,13007,492,13499,cot_sc,success
8853,Claim: Australia (2008 film) production took place only in Russia.,REFUTES,REFUTES,1.0,1.0,1.0,9,0,13389,486,13875,cot_sc,success
8292,Claim: Dakota Fanning is not an actress.,REFUTES,REFUTES,1.0,1.0,1.0,6,0,9733,314,10047,cot_sc,success
4922,Claim: Jackpot is exclusively a novel.,REFUTES,REFUTES,1.0,1.0,1.0,6,0,8616,325,8941,cot_sc,success
9578,Claim: Mike Huckabee hosts an annual global warming conference.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,6,0,9899,364,10263,cot_sc,success
6280,Claim: Always features a British actress.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,14,0,21371,829,22200,cot_sc,success
5545,Claim: Tatum O'Neal married Maria Sharapova.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,13,0,19803,761,20564,cot_sc,success
8144,Claim: Warner Bros. released Avenged Sevenfold.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,17,0,27792,1294,29086,cot_sc,success
