question_idx|question_text|answer|gt_answer|em|f1|reward|n_calls|n_badcalls|input_tokens|output_tokens|total_tokens|num_trials|max_trials|framework|action_pruned_happen|context_pruned_happen|total_pruning
4373|Claim: Edgar Wright is a singer.|REFUTES|NOT ENOUGH INFO|0.0|0.0|0.0|21|0|29272|1470|30742|7|7|reflexion_react|0|0|0
4411|Claim: Black Canary is a character in Batman comic books.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|3|0|2003|140|2143|1|7|reflexion_react|0|0|0
7752|Claim: Noah Cyrus is the youngest daughter of Garth Brooks.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|8|0|10393|366|10759|1|7|reflexion_react|0|0|0
2078|Claim: Yandex functions in Turkey.|NOT ENOUGH INFO|SUPPORTS|0.0|0.0|0.0|43|0|76676|5350|82026|7|7|reflexion_react|0|0|0
7777|Claim: The Cincinnati Kid was announced by Norman Jewison.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|3|0|1918|63|1981|1|7|reflexion_react|0|0|0
7398|Claim: Viola Davis has played supporting and minor roles in radio and theater.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|3|0|1951|94|2045|1|7|reflexion_react|0|0|0
2021|Claim: Miranda Otto is the only sister of actress Gracie Otto.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|4|0|2908|154|3062|1|7|reflexion_react|0|0|0
8755|Claim: Unfree labor is a result of human trafficking.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|15|0|19605|924|20529|2|7|reflexion_react|0|0|0
4242|Claim: The Indian Army comprises a lot of people.|NOT ENOUGH INFO|SUPPORTS|0.0|0.0|0.0|44|1|72653|5413|78066|7|7|reflexion_react|0|0|0
5880|Claim: Melancholia was directed solely by an American gymnast.|REFUTES|REFUTES|1.0|1.0|1.0|5|0|4337|181|4518|1|7|reflexion_react|0|0|0
4795|Claim: Alice Cooper was born on July 3rd, 1922.|REFUTES|REFUTES|1.0|1.0|1.0|3|0|2003|74|2077|1|7|reflexion_react|0|0|0
9500|Claim: The White House Press Secretary is an official.|SUPPORTS|SUPPORTS|1.0|1.0|1.0|3|0|1948|59|2007|1|7|reflexion_react|0|0|0
344|Claim: Chaka Khan has released at least five studio albums.|SUPPORTS|NOT ENOUGH INFO|0.0|0.0|0.0|28|0|37297|1667|38964|7|7|reflexion_react|0|0|0
2194|Claim: The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.|NOT ENOUGH INFO|SUPPORTS|0.0|0.0|0.0|50|3|98312|7624|105936|7|7|reflexion_react|0|0|0
3125|Claim: Keith Urban is the second studio album by Keith Urban and was released in 1999.|SUPPORTS|SUPPORTS|1.0|1.0|1.0|4|0|2992|156|3148|1|7|reflexion_react|0|0|0
7350|Claim: Yandex operates in Lithuania.|REFUTES|REFUTES|1.0|1.0|1.0|14|0|18420|1354|19774|3|7|reflexion_react|0|0|0
4187|Claim: Tilda Swinton is vegan.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|3|0|1858|78|1936|1|7|reflexion_react|0|0|0
1564|Claim: Vedam has Deeksha Seth in a starring role.|SUPPORTS|SUPPORTS|1.0|1.0|1.0|8|0|8085|488|8573|2|7|reflexion_react|0|0|0
8501|Claim: Colin Kaepernick plays for the Patriots.|REFUTES|REFUTES|1.0|1.0|1.0|3|0|1924|104|2028|1|7|reflexion_react|0|0|0
7826|Claim: Entourage (film) was filmed in England.|NOT ENOUGH INFO|NOT ENOUGH INFO|1.0|1.0|1.0|5|0|4324|205|4529|1|7|reflexion_react|0|0|0
