question_idx,question_text,answer,gt_answer,em,f1,reward,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,framework,status
4373,Claim: Edgar Wright is a singer.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,6,0,5808,201,6009,majority_voting,success
4411,Claim: Black Canary is a character in Batman comic books.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,7,0,7329,752,8081,majority_voting,success
7752,Claim: Noah Cyrus is the youngest daughter of Garth Brooks.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,21,0,27013,1621,28634,majority_voting,success
2078,Claim: Yandex functions in Turkey.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,6,0,5947,262,6209,majority_voting,success
7777,Claim: The Cincinnati Kid was announced by Norman Jewison.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,6,0,5757,237,5994,majority_voting,success
7398,Claim: Viola Davis has played supporting and minor roles in radio and theater.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,6,0,5858,403,6261,majority_voting,success
2021,Claim: Miranda Otto is the only sister of actress Gracie Otto.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,9,0,8747,532,9279,majority_voting,success
8755,Claim: Unfree labor is a result of human trafficking.,SUPPORTS,NOT ENOUGH INFO,0.0,0.0,0.0,19,1,24289,1326,25615,majority_voting,success
4242,Claim: The Indian Army comprises a lot of people.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,14,0,16205,661,16866,majority_voting,success
5880,Claim: Melancholia was directed solely by an American gymnast.,NOT ENOUGH INFO,REFUTES,0.0,0.0,0.0,13,1,14614,781,15395,majority_voting,success
4795,"Claim: Alice Cooper was born on July 3rd, 1922.",REFUTES,REFUTES,1.0,1.0,1.0,11,0,12879,678,13557,majority_voting,success
9500,Claim: The White House Press Secretary is an official.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,6,0,5854,189,6043,majority_voting,success
344,Claim: Chaka Khan has released at least five studio albums.,SUPPORTS,NOT ENOUGH INFO,0.0,0.0,0.0,9,0,9360,351,9711,majority_voting,success
2194,"Claim: The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,17,0,21821,885,22706,majority_voting,success
3125,Claim: Keith Urban is the second studio album by Keith Urban and was released in 1999.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,9,0,8954,468,9422,majority_voting,success
7350,Claim: Yandex operates in Lithuania.,NOT ENOUGH INFO,REFUTES,0.0,0.0,0.0,8,0,8217,407,8624,majority_voting,success
4187,Claim: Tilda Swinton is vegan.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,8,0,7745,285,8030,majority_voting,success
1564,Claim: Vedam has Deeksha Seth in a starring role.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,9,0,8742,364,9106,majority_voting,success
8501,Claim: Colin Kaepernick plays for the Patriots.,REFUTES,REFUTES,1.0,1.0,1.0,6,0,5780,322,6102,majority_voting,success
7826,Claim: Entourage (film) was filmed in England.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,13,0,14830,858,15688,majority_voting,success
2634,Claim: Annette Badland has yet to be in a soap opera.,REFUTES,REFUTES,1.0,1.0,1.0,7,0,7152,303,7455,majority_voting,success
6223,Claim: Rob Sheridan was born in 1980.,REFUTES,REFUTES,1.0,1.0,1.0,8,1,9017,236,9253,majority_voting,success
2939,Claim: Tata Motors is a constituent of the Boston Stock Exchange.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,12,0,12743,768,13511,majority_voting,success
7736,Claim: Mickey Rourke appeared in a 2011 film.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,20,0,25976,1337,27313,majority_voting,success
6431,Claim: Don Hall is a critic of Walt Disney Animation Studios.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,9,0,8995,390,9385,majority_voting,success
8853,Claim: Australia (2008 film) production took place only in Russia.,REFUTES,REFUTES,1.0,1.0,1.0,9,0,9237,417,9654,majority_voting,success
8292,Claim: Dakota Fanning is not an actress.,REFUTES,REFUTES,1.0,1.0,1.0,6,0,5964,197,6161,majority_voting,success
4922,Claim: Jackpot is exclusively a novel.,REFUTES,REFUTES,1.0,1.0,1.0,6,0,5387,255,5642,majority_voting,success
9578,Claim: Mike Huckabee hosts an annual global warming conference.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,6,0,6011,281,6292,majority_voting,success
6280,Claim: Always features a British actress.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,14,0,16785,575,17360,majority_voting,success
5545,Claim: Tatum O'Neal married Maria Sharapova.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,13,0,15126,647,15773,majority_voting,success
8144,Claim: Warner Bros. released Avenged Sevenfold.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,17,0,22161,1144,23305,majority_voting,success
9250,Claim: Melancholia stars Kirsten Dunst as Winnie the Pooh.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,12,0,15605,654,16259,majority_voting,success
2632,Claim: Angela Bassett is vegetarian.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,12,0,12768,754,13522,majority_voting,success
1652,Claim: Al Jardine refuses to play all musical instruments.,REFUTES,REFUTES,1.0,1.0,1.0,7,0,7131,362,7493,majority_voting,success
234,Claim: Michael Vick is only Armenian.,NOT ENOUGH INFO,REFUTES,0.0,0.0,0.0,12,1,12639,471,13110,majority_voting,success
5535,Claim: Anne Rice was born in the United States in the 1970's.,REFUTES,REFUTES,1.0,1.0,1.0,8,1,8230,317,8547,majority_voting,success
2432,Claim: Bruce Shand was awarded a medal.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,10,0,10465,514,10979,majority_voting,success
3854,Claim: Juventus Stadium in Turin is the home stadium for Juventus F.C.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,6,0,6519,242,6761,majority_voting,success
9696,"Claim: Diana, Princess of Wales did not die in a car crash in Paris on August 31st, 1997.",REFUTES,REFUTES,1.0,1.0,1.0,9,0,9124,479,9603,majority_voting,success
1950,Claim: Sebastian Stan created a Critics' Choice Television Award.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,8,0,8835,400,9235,majority_voting,success
342,Claim: Southpaw is a movie in the sports drama genre.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,9,0,8823,347,9170,majority_voting,success
6116,Claim: Jennifer Lopez's The Remixes was the first in history to debut at number one on the Shazam Music Charts.,NOT ENOUGH INFO,REFUTES,0.0,0.0,0.0,18,0,23637,1641,25278,majority_voting,success
6266,Claim: Damon Albarn had nothing to do with the album Everyday Robots.,REFUTES,REFUTES,1.0,1.0,1.0,8,0,7838,374,8212,majority_voting,success
6686,Claim: Lost is a French drama.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,10,0,9842,432,10274,majority_voting,success
4877,Claim: Annette Badland was in a BBC science fiction series for at least 4 seasons.,SUPPORTS,NOT ENOUGH INFO,0.0,0.0,0.0,11,0,12831,772,13603,majority_voting,success
705,Claim: Rob Sheridan was born in 1976.,REFUTES,REFUTES,1.0,1.0,1.0,6,0,6307,180,6487,majority_voting,success
6245,Claim: Steve Wozniak designed homes.,REFUTES,REFUTES,1.0,1.0,1.0,6,0,5895,248,6143,majority_voting,success
2278,Claim: Fabian Nicieza has written for over 10 different comic books.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,8,0,7924,504,8428,majority_voting,success
8642,Claim: The Mighty Ducks was only produced by Paramount Pictures.,NOT ENOUGH INFO,REFUTES,0.0,0.0,0.0,16,0,18630,805,19435,majority_voting,success
644,Claim: Polar bears are dependent on international aid.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,10,0,10257,635,10892,majority_voting,success
2850,Claim: Daggering is associated with dancehall music.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,6,0,5840,243,6083,majority_voting,success
5903,Claim: The French Resistance committed acts of sabotage in Paris.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,16,0,20786,1359,22145,majority_voting,success
150,Claim: Bermuda Triangle is in the western part of the Atlantic Ocean near Florida.,SUPPORTS,NOT ENOUGH INFO,0.0,0.0,0.0,8,0,7972,348,8320,majority_voting,success
7976,Claim: Microbiologist research promotes information that leads to important policy decisions,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,19,0,22631,1467,24098,majority_voting,success
867,Claim: Aerobic exercise is good for heart health.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,8,0,8276,467,8743,majority_voting,success
6248,Claim: The first inauguration of Bill Clinton took place in Vietnam.,REFUTES,REFUTES,1.0,1.0,1.0,6,0,5970,224,6194,majority_voting,success
8712,Claim: Bones was cancelled by Hart Hanson.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,16,0,19854,1188,21042,majority_voting,success
