question_idx,question_text,answer,gt_answer,em,f1,reward,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,framework,status
4373,Claim: Edgar Wright is a singer.,REFUTES,NOT ENOUGH INFO,0,0,0,2,0,1936,66,2002,react,success
4411,Claim: Black Canary is a character in Batman comic books.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,1,2,0,2003,140,2143,react,success
7752,Claim: Noah Cyrus is the youngest daughter of Garth Brooks.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,1,7,0,10392,382,10774,react,success
2078,Claim: Yandex functions in Turkey.,NOT ENOUGH INFO,SUPPORTS,0,0,0,2,0,1982,86,2068,react,success
7777,Claim: The Cincinnati Kid was announced by Norman Jewison.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,1,2,0,1918,63,1981,react,success
7398,Claim: Viola Davis has played supporting and minor roles in radio and theater.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,1,2,0,1951,108,2059,react,success
2021,Claim: Miranda Otto is the only sister of actress Gracie Otto.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,1,3,0,2908,150,3058,react,success
8755,Claim: Unfree labor is a result of human trafficking.,SUPPORTS,NOT ENOUGH INFO,0,0,0,6,0,7577,340,7917,react,success
4242,Claim: The Indian Army comprises a lot of people.,NOT ENOUGH INFO,SUPPORTS,0,0,0,3,0,3007,123,3130,react,success
5880,Claim: Melancholia was directed solely by an American gymnast.,REFUTES,REFUTES,1,1,1,5,0,5770,281,6051,react,success
4795,"Claim: Alice Cooper was born on July 3rd, 1922.",REFUTES,REFUTES,1,1,1,2,0,2003,74,2077,react,success
9500,Claim: The White House Press Secretary is an official.,SUPPORTS,SUPPORTS,1,1,1,2,0,1948,59,2007,react,success
344,Claim: Chaka Khan has released at least five studio albums.,SUPPORTS,NOT ENOUGH INFO,0,0,0,3,0,2952,107,3059,react,success
2194,"Claim: The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",NOT ENOUGH INFO,SUPPORTS,0,0,0,7,0,9087,361,9448,react,success
3125,Claim: Keith Urban is the second studio album by Keith Urban and was released in 1999.,SUPPORTS,SUPPORTS,1,1,1,3,0,2992,176,3168,react,success
7350,Claim: Yandex operates in Lithuania.,NOT ENOUGH INFO,REFUTES,0,0,0,2,0,1982,85,2067,react,success
4187,Claim: Tilda Swinton is vegan.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,1,2,0,1858,78,1936,react,success
1564,Claim: Vedam has Deeksha Seth in a starring role.,SUPPORTS,SUPPORTS,1,1,1,3,0,2907,107,3014,react,success
8501,Claim: Colin Kaepernick plays for the Patriots.,REFUTES,REFUTES,1,1,1,2,0,1924,104,2028,react,success
7826,Claim: Entourage (film) was filmed in England.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,1,5,0,5729,237,5966,react,success
2634,Claim: Annette Badland has yet to be in a soap opera.,REFUTES,REFUTES,1,1,1,2,0,2014,77,2091,react,success
6223,Claim: Rob Sheridan was born in 1980.,REFUTES,REFUTES,1,1,1,2,0,2101,53,2154,react,success
2939,Claim: Tata Motors is a constituent of the Boston Stock Exchange.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,1,5,0,5561,239,5800,react,success
7736,Claim: Mickey Rourke appeared in a 2011 film.,NOT ENOUGH INFORMATION,SUPPORTS,0,0,0,5,0,6207,288,6495,react,success
6431,Claim: Don Hall is a critic of Walt Disney Animation Studios.,REFUTES,NOT ENOUGH INFO,0,0,0,3,0,2992,124,3116,react,success
8853,Claim: Australia (2008 film) production took place only in Russia.,REFUTES,REFUTES,1,1,1,3,0,3083,149,3232,react,success
8292,Claim: Dakota Fanning is not an actress.,REFUTES,REFUTES,1,1,1,2,0,1988,62,2050,react,success
4922,Claim: Jackpot is exclusively a novel.,REFUTES,REFUTES,1,1,1,3,0,2926,126,3052,react,success
9578,Claim: Mike Huckabee hosts an annual global warming conference.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,1,2,0,2004,76,2080,react,success
6280,Claim: Always features a British actress.,SUPPORTS,SUPPORTS,1,1,1,5,0,5915,198,6113,react,success
5545,Claim: Tatum O'Neal married Maria Sharapova.,REFUTES,NOT ENOUGH INFO,0,0,0,3,0,3178,116,3294,react,success
8144,Claim: Warner Bros. released Avenged Sevenfold.,NOT ENOUGH INFO,SUPPORTS,0,0,0,2,0,1908,103,2011,react,success
9250,Claim: Melancholia stars Kirsten Dunst as Winnie the Pooh.,REFUTES,NOT ENOUGH INFO,0,0,0,5,0,6931,271,7202,react,success
2632,Claim: Angela Bassett is vegetarian.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,1,2,0,1955,73,2028,react,success
1652,Claim: Al Jardine refuses to play all musical instruments.,REFUTES,REFUTES,1,1,1,3,0,3093,139,3232,react,success
234,Claim: Michael Vick is only Armenian.,NOT ENOUGH INFO,REFUTES,0,0,0,4,0,4235,155,4390,react,success
5535,Claim: Anne Rice was born in the United States in the 1970's.,REFUTES,REFUTES,1,1,1,2,0,1941,105,2046,react,success
2432,Claim: Bruce Shand was awarded a medal.,NOT ENOUGH INFORMATION,NOT ENOUGH INFO,0,0,0,6,0,7104,492,7596,react,success
3854,Claim: Juventus Stadium in Turin is the home stadium for Juventus F.C.,SUPPORTS,SUPPORTS,1,1,1,2,0,2173,77,2250,react,success
9696,"Claim: Diana, Princess of Wales did not die in a car crash in Paris on August 31st, 1997.",REFUTES,REFUTES,1,1,1,3,0,3058,155,3213,react,success
1950,Claim: Sebastian Stan created a Critics' Choice Television Award.,REFUTES,NOT ENOUGH INFO,0,0,0,2,0,1975,78,2053,react,success
342,Claim: Southpaw is a movie in the sports drama genre.,SUPPORTS,SUPPORTS,1,1,1,3,0,2928,101,3029,react,success
6116,Claim: Jennifer Lopez's The Remixes was the first in history to debut at number one on the Shazam Music Charts.,NOT ENOUGH INFO,REFUTES,0,0,0,6,1,7190,377,7567,react,success
6266,Claim: Damon Albarn had nothing to do with the album Everyday Robots.,REFUTES,REFUTES,1,1,1,3,0,2954,114,3068,react,success
