framework,question_idx,em,total_tokens
reflexion,1888,0,148589
reflexion,3545,0,4177
reflexion,2587,0,81588
reflexion,3726,1,10396
reflexion,3469,0,67475
reflexion,7385,0,0
reflexion,1873,1,6245
reflexion,672,0,197386
reflexion,6679,0,95863
reflexion,3619,0,78810
reflexion,449,0,37671
reflexion,5874,0,6168
reflexion,5858,0,4142
reflexion,5159,1,6629
reflexion,1079,0,108896
reflexion,5999,0,13255
reflexion,4055,1,6402
reflexion,4806,0,51524
reflexion,4188,1,6667
reflexion,6895,0,36565
reflexion,6611,1,6611
reflexion,404,1,6345
reflexion,251,1,4019
reflexion,2709,0,178828
reflexion,4136,0,36344
reflexion,6282,0,6466
reflexion,6253,0,182427
reflexion,2053,1,13664
reflexion,1891,0,4124
reflexion,702,0,138415
reflexion,6220,1,8589
reflexion,6060,1,3981
reflexion,5157,0,4109
reflexion,6633,1,18922
reflexion,7272,0,167123
reflexion,3969,1,6456
reflexion,2187,0,6607
reflexion,2191,0,64001
reflexion,3625,0,167669
reflexion,647,1,4337
reflexion,454,1,21479
reflexion,3600,1,28929
reflexion,4896,1,5928
reflexion,6729,0,100538
reflexion,5718,1,46368
reflexion,2397,1,6266
reflexion,2557,0,10410
reflexion,885,0,180384
reflexion,2046,1,6181
reflexion,4651,0,78704
reflexion,2661,0,158441
reflexion,4028,1,6189
reflexion,2580,1,6143
reflexion,3888,1,6051
reflexion,4153,1,8454
reflexion,6718,1,20086
reflexion,7397,1,4024
reflexion,6700,1,4044
reflexion,3736,1,10721
reflexion,5988,1,16580
reflexion,4449,0,91741
reflexion,6997,1,26717
reflexion,2481,1,6008
reflexion,5884,0,129793
reflexion,3864,0,11782
reflexion,5965,0,11712
reflexion,5043,0,0
reflexion,4255,0,159883
reflexion,5155,1,6320
reflexion,6649,0,6102
reflexion,4214,0,6393
reflexion,6807,1,13550
reflexion,6357,0,130547
reflexion,901,0,35969
reflexion,167,1,6053
reflexion,3124,0,10947
reflexion,6526,1,4057
reflexion,3880,1,4047
reflexion,451,0,52568
reflexion,7244,0,165823
reflexion,5365,1,6534
reflexion,6569,0,158756
reflexion,1059,0,13412
reflexion,3685,1,7896
reflexion,325,0,6366
reflexion,6460,1,129749
reflexion,7352,1,6195
reflexion,5404,0,4374
reflexion,4247,1,131856
reflexion,4381,0,75756
reflexion,5235,1,8519
reflexion,5542,1,5854
reflexion,3355,1,6072
reflexion,5608,1,31122
reflexion,6074,0,6263
reflexion,2690,0,95084
reflexion,1297,1,11017
reflexion,1180,0,6254
reflexion,4933,0,8689
reflexion,1419,0,13003
reflexion,3006,0,6222
reflexion,3807,0,17904
reflexion,3613,0,6226
reflexion,3542,1,68313
reflexion,4799,0,20091
reflexion,4733,1,6283
reflexion,6905,0,13035
reflexion,3788,0,4173
reflexion,2513,1,10995
reflexion,5337,0,11404
reflexion,1417,0,8399
reflexion,7333,0,15681
reflexion,6796,0,111991
reflexion,7280,0,87033
reflexion,6416,1,141115
reflexion,3164,0,91278
reflexion,2299,0,62130
reflexion,580,0,6371
reflexion,5498,1,6301
reflexion,1422,0,104611
reflexion,5313,1,6427
reflexion,5532,0,33301
reflexion,32,0,56715
reflexion,273,0,143207
reflexion,1094,1,6357
reflexion,2277,0,6442
reflexion,2521,1,6465
reflexion,6883,0,17933
reflexion,2884,1,13260
reflexion,975,0,96567
reflexion,2951,0,4062
reflexion,4037,0,67533
reflexion,7270,1,6162
reflexion,5285,0,128306
reflexion,1910,0,8349
reflexion,2594,0,18605
reflexion,1815,0,6478
reflexion,5341,0,8789
reflexion,218,1,15571
reflexion,87,1,6308
reflexion,5187,0,163575
reflexion,1418,0,96779
reflexion,2658,1,20418
reflexion,2852,1,6648
reflexion,6477,1,16854
reflexion,2708,1,8354
reflexion,571,0,8434
reflexion,1011,0,24318
reflexion,4604,1,4055
reflexion,3377,0,69018
reflexion,879,0,76123
reflexion,7116,0,153739
reflexion,3340,1,11542
reflexion,3494,1,4201
reflexion,4693,0,6745
reflexion,1039,0,4209
reflexion,3897,1,5952
reflexion,5389,1,8426
reflexion,2853,0,92147
reflexion,6149,1,6137
reflexion,321,0,4281
reflexion,5356,1,6260
reflexion,5228,1,6286
reflexion,12,1,33836
reflexion,6989,0,33447
reflexion,1927,0,174610
reflexion,3476,0,6274
