question_idx,question_text,answer,gt_answer,em,f1,llm_correct,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,action_pruned_happen,context_pruned_happen,total_pruning,visited_pages
1888,Question: Who was the football manager that played in the Football League Cup in 1985 and managed to lead the Birmingham City Football Club's 103rd season to finish in the 18th position?,null,"Stephen Roger ""Steve"" Bruce",0,0.0,0,6,0,13167,773,13940,1,14,15,5
3545,"Question: ""Heartbreak Hurricane"" was recorded by which country artist, that also goes by the name Ricky Skaggs?",Ricky Skaggs,Rickie Lee Skaggs,0,0.4,1,2,0,3639,154,3793,0,2,2,1
2587,"Question: In what regions of the United States is the Eastern Market, Detroit located?",Michigan,Great Lakes and Midwestern,0,0.0,0,2,0,3653,97,3750,0,2,2,1
3726,Question: What is the nationality of the illustrator of Chaos Marauders?,null,British,0,0.0,0,7,0,13361,519,13880,4,7,11,2
3469,Question: What is 25 miles south of Groom Lake?,null,"Rachel, Nevada",0,0.0,0,6,0,11800,524,12324,1,3,4,3
7385,Question: Elizabeth Austin wrote for a fitness magazine founded by who?,null,Christine MacIntyre,0,0.0,0,6,0,11776,526,12302,1,6,7,4
1873,"Question: Which band was formed first, Fitz and The Tantrums or The Contortionist?",The Contortionist,The Contortionist,1,1.0,1,3,0,5847,143,5990,0,5,5,2
672,Question: Angelo Francesco Lavignino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred who?,null,Orson Welles,0,0.0,0,5,0,10097,405,10502,1,4,5,3
6679,"Question: What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage?",Hepatovirus,Flavivirus,0,0.0,0,5,0,10424,431,10855,0,5,5,3
3619,"Question: The terminology of algebraic geometry changed drastically with the introduction of the general methods, initiated by a mathematician of what nationality?",null,German,0,0.0,0,6,0,11492,566,12058,2,4,6,3
