question_idx,question_text,answer,gt_answer,em,f1,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,action_pruned_happen,context_pruned_happen,total_pruning,visited_pages
4373,Claim: Edgar Wright is a singer.,REFUTES,NOT ENOUGH INFO,0,0,2,0,2151,68,2219,0,2,2,0
4411,Claim: Black Canary is a character in Batman comic books.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,3,0,3590,203,3793,0,3,3,0
7752,Claim: Noah Cyrus is the youngest daughter of Garth Brooks.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,4,0,4768,222,4990,2,3,5,0
2078,Claim: Yandex functions in Turkey.,SUPPORTS,SUPPORTS,1,1,3,0,3577,120,3697,0,2,2,0
7777,Claim: The Cincinnati Kid was announced by Norman Jewison.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,2,0,2132,69,2201,0,2,2,0
7398,Claim: Viola Davis has played supporting and minor roles in radio and theater.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,4,0,4928,306,5234,0,3,3,0
2021,Claim: Miranda Otto is the only sister of actress Gracie Otto.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,2,0,2128,86,2214,0,2,2,0
8755,Claim: Unfree labor is a result of human trafficking.,SUPPORTS,NOT ENOUGH INFO,0,0,3,0,3625,247,3872,0,4,4,0
4242,Claim: The Indian Army comprises a lot of people.,NOT ENOUGH INFO,SUPPORTS,0,0,4,0,4872,209,5081,1,2,3,0
5880,Claim: Melancholia was directed solely by an American gymnast.,NOT ENOUGH INFO,REFUTES,0,0,4,0,5637,182,5819,1,6,7,0
