question_idx,question_text,answer,gt_answer,em,f1,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,action_pruned_happen,context_pruned_happen,total_pruning
672,Question: Angelo Francesco Lavignino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred who?,,Orson Welles,0,0.0,32,3,84493,6445,90938,7,20,27
1102,"Question: Which publication still relies on paper printing, Human Events or Texas Highways? ",Texas Highways,Texas Highways,1,1.0,4,0,5773,134,5907,0,4,4
1169,Question:  Ravi Khote:has included his music in which 2003 Indian drama?,Kal Ho Naa Ho,Kal Ho Naa Ho,1,1.0,4,0,5839,202,6041,0,5,5
1399,Question: Was Pocahontas made before Born in China?,Yes,yes,1,1.0,6,0,10615,275,10890,0,8,8
1472,Question: Which airline hub does Japan Air Commuter and Japan Airlines share in common?,Itami Airport,Osaka International Airport,0,0.4,4,0,6010,168,6178,0,4,4
1873,"Question: Which band was formed first, Fitz and The Tantrums or The Contortionist?",The Contortionist,The Contortionist,1,1.0,4,0,5847,143,5990,0,5,5
1888,Question: Who was the football manager that played in the Football League Cup in 1985 and managed to lead the Birmingham City Football Club's 103rd season to finish in the 18th position?,Steve Bruce,"Stephen Roger ""Steve"" Bruce",0,0.6666666666666666,19,0,47859,2795,50654,3,29,32
2587,"Question: In what regions of the United States is the Eastern Market, Detroit located?","Great Lakes region, Upper Midwestern United States",Great Lakes and Midwestern,0,0.5454545454545454,12,0,25078,1037,26115,0,12,12
3469,Question: What is 25 miles south of Groom Lake?,,"Rachel, Nevada",0,0.0,24,1,63336,5250,68586,1,19,20
3545,"Question: ""Heartbreak Hurricane"" was recorded by which country artist, that also goes by the name Ricky Skaggs?",Ricky Skaggs,Rickie Lee Skaggs,0,0.4,3,0,3639,154,3793,0,2,2
3600,"Question: Trilochanapala, last king of the Kabul Shahi dynasty, ruled in the site of which modern country?",Afghanistan,Afghanistan,1,1.0,3,0,3722,190,3912,0,3,3
3619,"Question: The terminology of algebraic geometry changed drastically with the introduction of the general methods, initiated by a mathematician of what nationality?",German,German,1,1.0,13,0,26493,1498,27991,2,9,11
3699,"Question: How many albums have been sold by the singer who released the 2002 single ""Sk8er Boi""?  ",50 million,40 million,0,0.5,17,0,41329,1838,43167,0,16,16
3726,Question: What is the nationality of the illustrator of Chaos Marauders?,British,British,1,1.0,6,0,9901,357,10258,0,5,5
4569,"Question: The royal anthem is changed from what to ""long live our noble Duke""?",Long live our noble King,Long live our noble Queen,0,0.8000000000000002,11,0,25135,1061,26196,0,6,6
5490,Question: What type of art does The Consul and Arlecchino have in common?,Theatre,music,0,0.0,21,0,57820,4079,61899,1,22,23
6679,"Question: What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage?",Orthoflavivirus,Flavivirus,0,0.0,21,1,56744,3425,60169,0,10,10
6883,Question: What type of area did Michel Thomas work in when he was in the French Resistance?,rural area,rural,0,0.6666666666666666,3,0,3673,80,3753,0,2,2
6905,"Question: ""The Parasite"" is a kind of text that has how many words?",,"between 7,500 and 40,000",0,0.0,35,3,92482,6154,98636,11,31,42
7385,Question: Elizabeth Austin wrote for a fitness magazine founded by who?,,Christine MacIntyre,0,0.0,30,2,74259,4701,78960,8,22,30
