question_idx,question_text,answer,gt_answer,em,f1,llm_correct,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens
1888,Question: Who was the football manager that played in the Football League Cup in 1985 and managed to lead the Birmingham City Football Club's 103rd season to finish in the 18th position?,,"Stephen Roger ""Steve"" Bruce",0,0.0,0,7,0,17887,992,18879
3545,"Question: ""Heartbreak Hurricane"" was recorded by which country artist, that also goes by the name Ricky Skaggs?",Ricky Skaggs,Rickie Lee Skaggs,0,0.4,1,2,0,3731,186,3917
2587,"Question: In what regions of the United States is the Eastern Market, Detroit located?",Midwestern United States,Great Lakes and Midwestern,0,0.2857142857142857,0,6,0,12994,477,13471
3726,Question: What is the nationality of the illustrator of Chaos Marauders?,,British,0,0.0,0,4,0,7592,172,7764
3469,Question: What is 25 miles south of Groom Lake?,,"Rachel, Nevada",0,0.0,0,3,0,5961,127,6088
7385,Question: Elizabeth Austin wrote for a fitness magazine founded by who?,Phyllis Starr Wilson,Christine MacIntyre,0,0.0,0,5,0,10216,262,10478
1873,"Question: Which band was formed first, Fitz and The Tantrums or The Contortionist?",The Contortionist,The Contortionist,1,1.0,1,3,0,5948,160,6108
672,Question: Angelo Francesco Lavignino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred who?,,Orson Welles,0,0.0,0,7,1,16222,1368,17590
6679,"Question: What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage?",Orthoflavivirus,Flavivirus,0,0.0,0,4,0,9366,412,9778
3619,"Question: The terminology of algebraic geometry changed drastically with the introduction of the general methods, initiated by a mathematician of what nationality?",French,German,0,0.0,0,5,0,10340,424,10764
