question_idx,question_text,answer,gt_answer,em,f1,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,pruned_actions,evidence_items,visited_pages
4373,Claim: Edgar Wright is a singer.,REFUTES,NOT ENOUGH INFO,0,0,2,0,1169,55,1224,0,3,0
4411,Claim: Black Canary is a character in Batman comic books.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,2,0,1235,121,1356,0,3,0
7752,Claim: Noah Cyrus is the youngest daughter of Garth Brooks.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,6,0,5548,392,5940,0,15,0
2078,Claim: Yandex functions in Turkey.,SUPPORTS,SUPPORTS,1,1,3,0,2122,136,2258,0,4,0
7777,Claim: The Cincinnati Kid was announced by Norman Jewison.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,3,0,1885,126,2011,0,3,0
7398,Claim: Viola Davis has played supporting and minor roles in radio and theater.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,3,0,2027,219,2246,0,3,0
2021,Claim: Miranda Otto is the only sister of actress Gracie Otto.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,2,0,1150,104,1254,0,3,0
8755,Claim: Unfree labor is a result of human trafficking.,SUPPORTS,NOT ENOUGH INFO,0,0,3,0,2183,244,2427,0,6,0
4242,Claim: The Indian Army comprises a lot of people.,NOT ENOUGH INFO,SUPPORTS,0,0,5,0,4000,278,4278,0,7,0
5880,Claim: Melancholia was directed solely by an American gymnast.,REFUTES,REFUTES,1,1,3,0,2308,139,2447,0,6,0
