question_idx,question_text,answer,gt_answer,em,f1,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,pruned_actions,evidence_items,visited_pages
4373,Claim: Edgar Wright is a singer.,REFUTES,NOT ENOUGH INFO,0,0,2,0,849,80,929,0,3,0
4411,Claim: Black Canary is a character in Batman comic books.,SUPPORTS,NOT ENOUGH INFO,0,0,3,0,1678,193,1871,0,4,0
7752,Claim: Noah Cyrus is the youngest daughter of Garth Brooks.,REFUTES,NOT ENOUGH INFO,0,0,5,0,3624,415,4039,0,10,0
2078,Claim: Yandex functions in Turkey.,SUPPORTS,SUPPORTS,1,1,3,0,1673,174,1847,0,4,0
7777,Claim: The Cincinnati Kid was announced by Norman Jewison.,NOT ENOUGH INFORMATION,NOT ENOUGH INFO,0,0,2,0,834,120,954,0,3,0
7398,Claim: Viola Davis has played supporting and minor roles in radio and theater.,NOT ENOUGH INFORMATION,NOT ENOUGH INFO,0,0,4,0,2288,310,2598,0,3,0
2021,Claim: Miranda Otto is the only sister of actress Gracie Otto.,SUPPORTS,NOT ENOUGH INFO,0,0,3,0,1493,181,1674,0,6,0
8755,Claim: Unfree labor is a result of human trafficking.,SUPPORTS,NOT ENOUGH INFO,0,0,3,0,1664,244,1908,0,6,0
4242,Claim: The Indian Army comprises a lot of people.,SUPPORTS,SUPPORTS,1,1,5,0,3104,292,3396,0,5,0
5880,Claim: Melancholia was directed solely by an American gymnast.,REFUTES,REFUTES,1,1,3,0,1804,129,1933,0,6,0
