question_idx,question_text,answer,gt_answer,em,f1,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,pruned_actions,evidence_items,visited_pages
4373,Claim: Edgar Wright is a singer.,REFUTES,NOT ENOUGH INFO,0,0,2,0,2437,67,2504,1,3,1
4411,Claim: Black Canary is a character in Batman comic books.,SUPPORTS,NOT ENOUGH INFO,0,0,3,0,4071,252,4323,2,4,1
7752,Claim: Noah Cyrus is the youngest daughter of Garth Brooks.,REFUTES,NOT ENOUGH INFO,0,0,3,0,3861,124,3985,2,4,1
2078,Claim: Yandex functions in Turkey.,SUPPORTS,SUPPORTS,1,1,3,0,4008,122,4130,2,4,1
7777,Claim: The Cincinnati Kid was announced by Norman Jewison.,REFUTES,NOT ENOUGH INFO,0,0,2,0,2418,75,2493,1,3,1
7398,Claim: Viola Davis has played supporting and minor roles in radio and theater.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,3,0,3865,155,4020,2,3,1
2021,Claim: Miranda Otto is the only sister of actress Gracie Otto.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,2,0,2414,109,2523,1,3,1
8755,Claim: Unfree labor is a result of human trafficking.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,7,0,10709,507,11216,12,4,1
4242,Claim: The Indian Army comprises a lot of people.,NOT ENOUGH INFO,SUPPORTS,0,0,1,0,1108,45,1153,0,0,0
5880,Claim: Melancholia was directed solely by an American gymnast.,NOT ENOUGH INFO,REFUTES,0,0,7,0,11784,329,12113,11,8,3
