question_idx,framework,em,f1,total_tokens
1547,react,0.0,0.0,3067
2054,react,1.0,1.0,3381
478,react,1.0,1.0,11240
3245,react,0.0,0.0,17080
1119,react,1.0,1.0,3713
3575,react,1.0,1.0,3633
978,react,1.0,1.0,4711
1668,react,0.0,0.0,11526
6149,react,1.0,1.0,19273
4237,react,1.0,1.0,3757
1106,react,1.0,1.0,13150
6953,react,1.0,1.0,3828
2375,react,1.0,1.0,17877
5129,react,1.0,1.0,3667
4491,react,0.0,0.0,13422
720,react,1.0,1.0,3639
1205,react,1.0,1.0,3686
5136,react,0.0,0.0,9130
4151,react,1.0,1.0,3631
4456,react,0.0,0.0,10800
6054,react,0.0,0.0,8913
7110,react,1.0,1.0,3407
4166,react,1.0,1.0,3675
1564,react,0.0,0.0,4810
6694,react,0.0,0.0,11282
3802,react,0.0,0.0,3532
7043,react,0.0,0.0,3792
4109,react,1.0,1.0,3506
4368,react,1.0,1.0,16855
150,react,0.0,0.0,0
6058,react,0.0,0.0,0
1653,react,0.0,0.0,3158
4619,react,0.0,0.0,10915
2179,react,1.0,1.0,3594
6444,react,1.0,1.0,11110
3882,react,0.0,0.0,20455
2951,react,1.0,1.0,4091
224,react,0.0,0.0,9869
902,react,1.0,1.0,8607
1009,react,1.0,1.0,9596
6856,react,0.0,0.0,18340
7251,react,1.0,1.0,3691
654,react,1.0,1.0,6943
6395,react,0.0,0.0,18338
1979,react,0.0,0.0,3313
2395,react,1.0,1.0,3566
3048,react,0.0,0.0,2532
4120,react,1.0,1.0,11569
5848,react,1.0,1.0,3854
2923,react,1.0,1.0,3590
4913,react,0.0,0.0,3496
6818,react,1.0,1.0,4179
680,react,1.0,1.0,9959
37,react,1.0,1.0,3518
3201,react,0.0,0.0,3537
6650,react,0.0,0.0,4788
1606,react,1.0,1.0,3404
6481,react,1.0,1.0,3530
6982,react,0.0,0.0,21115
4536,react,0.0,0.0,11043
5693,react,0.0,0.0,3840
4568,react,0.0,0.0,12995
4128,react,0.0,0.0,13589
3340,react,1.0,1.0,3271
7365,react,1.0,1.0,16386
6623,react,1.0,1.0,3806
2667,react,0.0,0.0,3776
2980,react,0.0,0.0,3530
1833,react,0.0,0.0,3936
6508,react,0.0,0.0,12887
4032,react,1.0,1.0,3770
6771,react,0.0,0.0,11362
5203,react,1.0,1.0,8384
6280,react,0.0,0.0,9055
176,react,0.0,0.0,3625
1712,react,1.0,1.0,3673
3388,react,0.0,0.0,9213
2543,react,1.0,1.0,3750
2893,react,1.0,1.0,3408
6613,react,0.0,0.0,12392
854,react,1.0,1.0,3608
4865,react,1.0,1.0,11365
102,react,1.0,1.0,13173
3235,react,1.0,1.0,3925
5498,react,1.0,1.0,3787
1666,react,0.0,0.0,9941
4240,react,1.0,1.0,3504
4787,react,1.0,1.0,3440
3042,react,0.0,0.0,19152
3620,react,1.0,1.0,8950
1611,react,0.0,0.0,13780
4233,react,1.0,1.0,3585
5948,react,0.0,0.0,8659
1011,react,1.0,1.0,4865
754,react,1.0,1.0,9212
592,react,1.0,1.0,8641
5683,react,0.0,0.0,10933
3681,react,0.0,0.0,7539
2703,react,1.0,1.0,3495
1419,react,1.0,1.0,3330
7382,react,1.0,1.0,10058
626,react,1.0,1.0,3467
2806,react,1.0,1.0,3557
4502,react,1.0,1.0,13023
41,react,1.0,1.0,3601
6937,react,1.0,1.0,3744
2778,react,1.0,1.0,3507
4589,react,1.0,1.0,3692
2724,react,0.0,0.0,3582
5148,react,1.0,1.0,3586
4438,react,1.0,1.0,3598
5597,react,1.0,1.0,3494
4851,react,0.0,0.0,20226
6672,react,0.0,0.0,14972
1654,react,1.0,1.0,13877
3696,react,0.0,0.0,8619
797,react,0.0,0.0,3554
4993,react,0.0,0.0,13744
1260,react,0.0,0.0,3323
1865,react,0.0,0.0,6732
2907,react,0.0,0.0,10521
3859,react,0.0,0.0,3595
3222,react,1.0,1.0,3703
2022,react,1.0,1.0,3764
350,react,1.0,1.0,3840
3962,react,1.0,1.0,18930
6087,react,0.0,0.0,3506
3352,react,1.0,1.0,3509
7331,react,1.0,1.0,3519
2877,react,1.0,1.0,14314
6795,react,1.0,1.0,4069
