question_idx,question_text,answer,gt_answer,em,f1,reward,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,framework,status
4373,Claim: Edgar Wright is a singer.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,21,0,29272,1470,30742,reflexion_react,success
4411,Claim: Black Canary is a character in Batman comic books.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,2003,140,2143,reflexion_react,success
7752,Claim: Noah Cyrus is the youngest daughter of Garth Brooks.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,8,0,10393,366,10759,reflexion_react,success
2078,Claim: Yandex functions in Turkey.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,43,0,76676,5350,82026,reflexion_react,success
7777,Claim: The Cincinnati Kid was announced by Norman Jewison.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,1918,63,1981,reflexion_react,success
7398,Claim: Viola Davis has played supporting and minor roles in radio and theater.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,1951,94,2045,reflexion_react,success
2021,Claim: Miranda Otto is the only sister of actress Gracie Otto.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,4,0,2908,154,3062,reflexion_react,success
8755,Claim: Unfree labor is a result of human trafficking.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,15,0,19605,924,20529,reflexion_react,success
4242,Claim: The Indian Army comprises a lot of people.,NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,44,1,72653,5413,78066,reflexion_react,success
5880,Claim: Melancholia was directed solely by an American gymnast.,REFUTES,REFUTES,1.0,1.0,1.0,5,0,4337,181,4518,reflexion_react,success
4795,"Claim: Alice Cooper was born on July 3rd, 1922.",REFUTES,REFUTES,1.0,1.0,1.0,3,0,2003,74,2077,reflexion_react,success
9500,Claim: The White House Press Secretary is an official.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,3,0,1948,59,2007,reflexion_react,success
344,Claim: Chaka Khan has released at least five studio albums.,SUPPORTS,NOT ENOUGH INFO,0.0,0.0,0.0,28,0,37297,1667,38964,reflexion_react,success
2194,"Claim: The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",NOT ENOUGH INFO,SUPPORTS,0.0,0.0,0.0,50,3,98312,7624,105936,reflexion_react,success
3125,Claim: Keith Urban is the second studio album by Keith Urban and was released in 1999.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,4,0,2992,156,3148,reflexion_react,success
7350,Claim: Yandex operates in Lithuania.,REFUTES,REFUTES,1.0,1.0,1.0,14,0,18420,1354,19774,reflexion_react,success
4187,Claim: Tilda Swinton is vegan.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,1858,78,1936,reflexion_react,success
1564,Claim: Vedam has Deeksha Seth in a starring role.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,8,0,8085,488,8573,reflexion_react,success
8501,Claim: Colin Kaepernick plays for the Patriots.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,1924,104,2028,reflexion_react,success
7826,Claim: Entourage (film) was filmed in England.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,5,0,4324,205,4529,reflexion_react,success
2634,Claim: Annette Badland has yet to be in a soap opera.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,2014,77,2091,reflexion_react,success
6223,Claim: Rob Sheridan was born in 1980.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,2101,53,2154,reflexion_react,success
2939,Claim: Tata Motors is a constituent of the Boston Stock Exchange.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,33,0,50556,4058,54614,reflexion_react,success
7736,Claim: Mickey Rourke appeared in a 2011 film.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,17,0,25539,2017,27556,reflexion_react,success
6431,Claim: Don Hall is a critic of Walt Disney Animation Studios.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,28,0,43258,3032,46290,reflexion_react,success
8853,Claim: Australia (2008 film) production took place only in Russia.,REFUTES,REFUTES,1.0,1.0,1.0,4,0,3087,151,3238,reflexion_react,success
8292,Claim: Dakota Fanning is not an actress.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,1988,62,2050,reflexion_react,success
4922,Claim: Jackpot is exclusively a novel.,REFUTES,REFUTES,1.0,1.0,1.0,4,0,2926,126,3052,reflexion_react,success
9578,Claim: Mike Huckabee hosts an annual global warming conference.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,2004,76,2080,reflexion_react,success
6280,Claim: Always features a British actress.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,6,0,5692,186,5878,reflexion_react,success
5545,Claim: Tatum O'Neal married Maria Sharapova.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,8,1,8377,384,8761,reflexion_react,success
8144,Claim: Warner Bros. released Avenged Sevenfold.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,27,0,42753,2799,45552,reflexion_react,success
9250,Claim: Melancholia stars Kirsten Dunst as Winnie the Pooh.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,23,1,32145,1761,33906,reflexion_react,success
2632,Claim: Angela Bassett is vegetarian.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,3,0,1955,73,2028,reflexion_react,success
1652,Claim: Al Jardine refuses to play all musical instruments.,REFUTES,REFUTES,1.0,1.0,1.0,4,0,3093,139,3232,reflexion_react,success
234,Claim: Michael Vick is only Armenian.,REFUTES,REFUTES,1.0,1.0,1.0,27,0,37513,2080,39593,reflexion_react,success
5535,Claim: Anne Rice was born in the United States in the 1970's.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,1941,105,2046,reflexion_react,success
2432,Claim: Bruce Shand was awarded a medal.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,4,0,2956,318,3274,reflexion_react,success
3854,Claim: Juventus Stadium in Turin is the home stadium for Juventus F.C.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,3,0,2173,77,2250,reflexion_react,success
9696,"Claim: Diana, Princess of Wales did not die in a car crash in Paris on August 31st, 1997.",REFUTES,REFUTES,1.0,1.0,1.0,4,0,3060,155,3215,reflexion_react,success
1950,Claim: Sebastian Stan created a Critics' Choice Television Award.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,6,0,5971,296,6267,reflexion_react,success
342,Claim: Southpaw is a movie in the sports drama genre.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,4,0,2928,93,3021,reflexion_react,success
6116,Claim: Jennifer Lopez's The Remixes was the first in history to debut at number one on the Shazam Music Charts.,REFUTES,REFUTES,1.0,1.0,1.0,19,0,27991,2210,30201,reflexion_react,success
6266,Claim: Damon Albarn had nothing to do with the album Everyday Robots.,REFUTES,REFUTES,1.0,1.0,1.0,4,0,2940,114,3054,reflexion_react,success
6686,Claim: Lost is a French drama.,REFUTES,NOT ENOUGH INFO,0.0,0.0,0.0,35,0,45971,1977,47948,reflexion_react,success
4877,Claim: Annette Badland was in a BBC science fiction series for at least 4 seasons.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,14,0,18821,1127,19948,reflexion_react,success
705,Claim: Rob Sheridan was born in 1976.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,2101,53,2154,reflexion_react,success
6245,Claim: Steve Wozniak designed homes.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,1965,81,2046,reflexion_react,success
2278,Claim: Fabian Nicieza has written for over 10 different comic books.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,10,0,11195,644,11839,reflexion_react,success
8642,Claim: The Mighty Ducks was only produced by Paramount Pictures.,REFUTES,REFUTES,1.0,1.0,1.0,3,0,1882,59,1941,reflexion_react,success
644,Claim: Polar bears are dependent on international aid.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,10,0,10930,544,11474,reflexion_react,success
2850,Claim: Daggering is associated with dancehall music.,SUPPORTS,SUPPORTS,1.0,1.0,1.0,3,0,1943,77,2020,reflexion_react,success
5903,Claim: The French Resistance committed acts of sabotage in Paris.,NOT ENOUGH INFO,NOT ENOUGH INFO,1.0,1.0,1.0,8,0,8900,502,9402,reflexion_react,success
150,Claim: Bermuda Triangle is in the western part of the Atlantic Ocean near Florida.,SUPPORTS,NOT ENOUGH INFO,0.0,0.0,0.0,23,0,31899,1545,33444,reflexion_react,success
