question_idx,framework,em,f1,total_tokens
4373,react,0.0,0.0,2002
4411,react,1.0,1.0,2143
7752,react,1.0,1.0,10774
2078,react,0.0,0.0,2068
7777,react,1.0,1.0,1981
7398,react,1.0,1.0,2059
2021,react,1.0,1.0,3058
8755,react,0.0,0.0,7917
4242,react,0.0,0.0,3130
5880,react,1.0,1.0,6051
4795,react,1.0,1.0,2077
9500,react,1.0,1.0,2007
344,react,0.0,0.0,3059
2194,react,0.0,0.0,9448
3125,react,1.0,1.0,3168
7350,react,0.0,0.0,2067
4187,react,1.0,1.0,1936
1564,react,1.0,1.0,3014
8501,react,1.0,1.0,2028
7826,react,1.0,1.0,5966
2634,react,1.0,1.0,2091
6223,react,1.0,1.0,2154
2939,react,1.0,1.0,5800
7736,react,0.0,0.0,6495
6431,react,0.0,0.0,3116
8853,react,1.0,1.0,3232
8292,react,1.0,1.0,2050
4922,react,1.0,1.0,3052
9578,react,1.0,1.0,2080
6280,react,1.0,1.0,6113
5545,react,0.0,0.0,3294
8144,react,0.0,0.0,2011
9250,react,0.0,0.0,7202
2632,react,1.0,1.0,2028
1652,react,1.0,1.0,3232
234,react,0.0,0.0,4390
5535,react,1.0,1.0,2046
2432,react,0.0,0.0,7596
3854,react,1.0,1.0,2250
9696,react,1.0,1.0,3213
1950,react,0.0,0.0,2053
342,react,1.0,1.0,3029
6116,react,0.0,0.0,7567
6266,react,1.0,1.0,3068
6686,react,0.0,0.0,4189
4877,react,0.0,0.0,6861
705,react,1.0,1.0,2154
6245,react,1.0,1.0,2046
2278,react,0.0,0.0,3202
8642,react,1.0,1.0,1941
644,react,0.0,0.0,5867
2850,react,1.0,1.0,2020
5903,react,0.0,0.0,9441
150,react,0.0,0.0,2064
7976,react,0.0,0.0,4614
867,react,1.0,1.0,5642
6248,react,1.0,1.0,2069
8712,react,1.0,1.0,1991
4260,react,0.0,0.0,2055
4562,react,1.0,1.0,1977
441,react,1.0,1.0,3247
1019,react,1.0,1.0,2002
4950,react,1.0,1.0,2012
7521,react,1.0,1.0,2041
4312,react,1.0,1.0,2042
294,react,1.0,1.0,2007
1613,react,1.0,1.0,2040
5524,react,0.0,0.0,1979
9836,react,1.0,1.0,1983
7088,react,1.0,1.0,2074
1413,react,1.0,1.0,2053
6656,react,1.0,1.0,3226
9954,react,0.0,0.0,9534
9131,react,0.0,0.0,3176
5917,react,1.0,1.0,5952
6853,react,0.0,0.0,6738
7884,react,1.0,1.0,1893
1068,react,0.0,0.0,2032
470,react,0.0,0.0,3369
4007,react,1.0,1.0,2020
9761,react,0.0,0.0,2030
2114,react,1.0,1.0,2007
8199,react,1.0,1.0,3273
3905,react,1.0,1.0,8983
4218,react,1.0,1.0,2170
2019,react,1.0,1.0,2115
7525,react,1.0,1.0,4827
3148,react,0.0,0.0,9541
1924,react,0.0,0.0,2066
4921,react,1.0,1.0,2007
4410,react,1.0,1.0,3191
2778,react,1.0,1.0,1936
7732,react,1.0,1.0,2049
3121,react,1.0,1.0,1996
8565,react,0.0,0.0,2006
5516,react,0.0,0.0,2054
6857,react,0.0,0.0,2004
4508,react,1.0,1.0,1904
4025,react,1.0,1.0,1904
6521,react,0.0,0.0,2030
9396,react,1.0,1.0,1986
7968,react,0.0,0.0,6474
3,react,0.0,0.0,1980
1495,react,0.0,0.0,6353
7554,react,1.0,1.0,2029
8074,react,0.0,0.0,10488
2324,react,1.0,1.0,1995
2406,react,1.0,1.0,1954
699,react,0.0,0.0,4559
5805,react,0.0,0.0,9252
9070,react,1.0,1.0,2025
2168,react,1.0,1.0,3597
4086,react,1.0,1.0,2109
8586,react,0.0,0.0,7530
3675,react,1.0,1.0,4318
7916,react,1.0,1.0,2094
7103,react,1.0,1.0,2029
4079,react,0.0,0.0,2018
1857,react,1.0,1.0,1992
3351,react,0.0,0.0,6002
9800,react,0.0,0.0,10618
2693,react,1.0,1.0,3159
2119,react,0.0,0.0,2136
44,react,1.0,1.0,6448
4452,react,1.0,1.0,2030
9903,react,0.0,0.0,2021
2548,react,0.0,0.0,2150
8675,react,0.0,0.0,2038
7355,react,1.0,1.0,2073
4326,react,1.0,1.0,3018
3691,react,1.0,1.0,1982
3568,react,0.0,0.0,2023
762,react,1.0,1.0,2017
2492,react,0.0,0.0,3411
9445,react,1.0,1.0,3067
7187,react,0.0,0.0,5942
8129,react,1.0,1.0,2067
6454,react,1.0,1.0,1975
6886,react,1.0,1.0,2042
1023,react,0.0,0.0,4933
9981,react,1.0,1.0,2009
8921,react,1.0,1.0,2058
7674,react,1.0,1.0,3164
2073,react,0.0,0.0,8947
6466,react,0.0,0.0,2185
6455,react,1.0,1.0,6232
8956,react,0.0,0.0,1990
3445,react,1.0,1.0,2263
380,react,0.0,0.0,2120
3018,react,1.0,1.0,2071
5620,react,1.0,1.0,3202
9889,react,0.0,0.0,2005
5798,react,1.0,1.0,2113
6458,react,1.0,1.0,1973
9581,react,0.0,0.0,9810
