question_idx,question_text,answer,gt_answer,em,f1,llm_correct,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens,action_pruned_happen,context_pruned_happen,total_pruning,visited_pages
1888,Question: Who was the football manager that played in the Football League Cup in 1985 and managed to lead the Birmingham City Football Club's 103rd season to finish in the 18th position?,null,"Stephen Roger ""Steve"" Bruce",0,0.0,0,7,0,17887,992,18879,0,0,0,0
3545,"Question: ""Heartbreak Hurricane"" was recorded by which country artist, that also goes by the name Ricky Skaggs?",Ricky Skaggs,Rickie Lee Skaggs,0,0.4,1,2,0,3731,186,3917,0,0,0,0
2587,"Question: In what regions of the United States is the Eastern Market, Detroit located?",Midwestern United States,Great Lakes and Midwestern,0,0.28571428571428575,0,6,0,12994,477,13471,0,0,0,0
3726,Question: What is the nationality of the illustrator of Chaos Marauders?,null,British,0,0.0,0,4,0,7592,172,7764,0,0,0,0
3469,Question: What is 25 miles south of Groom Lake?,null,"Rachel, Nevada",0,0.0,0,3,0,5961,127,6088,0,0,0,0
7385,Question: Elizabeth Austin wrote for a fitness magazine founded by who?,Phyllis Starr Wilson,Christine MacIntyre,0,0.0,0,5,0,10216,262,10478,0,0,0,0
1873,"Question: Which band was formed first, Fitz and The Tantrums or The Contortionist?",The Contortionist,The Contortionist,1,1.0,1,3,0,5948,160,6108,0,0,0,0
672,Question: Angelo Francesco Lavignino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred who?,null,Orson Welles,0,0.0,0,7,1,16222,1368,17590,0,0,0,0
6679,"Question: What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage?",Orthoflavivirus,Flavivirus,0,0.0,0,4,0,9366,412,9778,0,0,0,0
3619,"Question: The terminology of algebraic geometry changed drastically with the introduction of the general methods, initiated by a mathematician of what nationality?",French,German,0,0.0,0,5,0,10340,424,10764,0,0,0,0
449,"Question: Chimaja Appawas the younger brother of a general of the Maratha Empire in India, who served as what to the fifth Maratha Chhatrapati Shahu from 1720 until his death?",Peshwa,"""Peshwa"" (Prime Minister)",0,0.5,1,4,0,8221,262,8483,0,0,0,0
5874,"Question: What trio was the songwriter of ""What Are We Doin' Lonesome"" from?",Larry Gatlin & the Gatlin Brothers,trio with his younger brothers Steve and Rudy,0,0.16666666666666666,1,3,0,5758,177,5935,0,0,0,0
5858,Question: Pyotr Verzilov is married to a Russian conceptual artist and what kind of activist?,political activist,political,0,0.6666666666666666,1,2,0,3769,175,3944,0,0,0,0
5159,"Question: Shaheed Udham Singh is a movie based on what massacre that took place on 13 April, 1919?",Jallianwala Bagh massacre,Jallianwala Bagh massacre,1,1.0,1,3,0,6110,290,6400,0,0,0,0
1079,Question: How many venues was in the complex at which Night of Joy was held? ,null,9 venues,0,0.0,0,7,0,14990,441,15431,0,0,0,0
5999,Question: Who owns the broadcasting platform where Games Done Quick is broadcast?,Amazon,Amazon.com,0,0.0,1,6,0,12710,390,13100,0,0,0,0
4055,"Question: In what year was the Moldavian, later Romanian writer, known for his work ""The Goat and Her Three Kids"" born?",1837,1837,1,1.0,1,3,0,6100,110,6210,0,0,0,0
4806,Question: Is The Devils of Loudun and Maskarade both operas?,no,yes,0,0.0,0,2,0,3716,100,3816,0,0,0,0
4188,Question: Both Neijiang and Weifang and considered what type of city?,prefecture-level city,a prefecture-level city,1,1.0,1,3,0,6275,175,6450,0,0,0,0
6895,"Question: What was the previous name of the hotel Bill Cosby recorded his comedy album, For Adults Only, in?",null,the Las Vegas Hilton,0,0.0,0,7,0,14613,570,15183,0,0,0,0
6611,Question: Which actor from the South Korean-Thai drama film Final Recipe debuted as a member of Super Junior-M in 2008?,Henry Lau,Henry Lau,1,1.0,1,3,0,6225,191,6416,0,0,0,0
404,Question: The Jeep Cherokee was originally sold as a variant of a Jeep model produced during what years?,1963 to 1991,1963 to 1991,1,1.0,1,3,0,5995,154,6149,0,0,0,0
251,"Question: What is Opry Mills in Nashville, Tennessee?",a super-regional shopping mall,super-regional shopping mall,1,1.0,1,2,0,3709,102,3811,0,0,0,0
2709,Question: What are the subdivisions of Neringa Municipality called in English?,null,elderships,0,0.0,0,7,0,15323,752,16075,0,0,0,0
4136,Question: When was the former IBF World title holder born? ,null,born 1 March 1979,0,0.0,0,1,0,1848,78,1926,0,0,0,0
6282,Question: What was triggered by the resignation of Conservative MP Stephen Phillips on 4 November 2016 and was when Caroline Johnson became a Member of Parliament?,2016 Sleaford and North Hykeham by-election,The Sleaford and North Hykeham by-election,0,0.9090909090909091,1,3,0,5870,283,6153,0,0,0,0
6253,Question: For what ogranization does a commentator of Press TV serve as associate director?,null,Henry Jackson Society,0,0.0,0,7,0,16414,781,17195,0,0,0,0
2053,"Question: Billy King was an Australian rules footballer who participated in a game that was contested between the South Melbourne Football Club and Carlton Football Club, and was held at what location in Melbourne in 1945?",Princes Park,Princes Park,1,1.0,1,6,0,13096,490,13586,0,0,0,0
1891,Question: Gleanntáin Ghlas' Ghaoth Dobhair is a song that can be heard in pubs licensed to serve what?,alcohol,alcoholic drinks,0,0.0,1,2,0,3801,126,3927,0,0,0,0
702,"Question: What was the location of the execution of Roger David Casement, the Irish Nationalist who made made efforts during World War I to gain German military aid for the 1916 Easter Rising that sought to gain Irish independence?",null,Casement's Fort,0,0.0,0,7,0,16508,402,16910,0,0,0,0
6220,Question: Which of the 2017-18 Cheshire League divisions is Ashton Town Association Football Club currently a member?,null,Premier Division,0,0.0,0,5,0,10524,608,11132,0,0,0,0
6060,"Question: Which genus of plant is named after a person, Amesiella or Cucurbita?",Amesiella,Amesiella,1,1.0,1,2,0,3718,83,3801,0,0,0,0
5157,Question: What Cuban preisdent overthrew Mary Tarrero-Serrano?,Fulgencio Batista,Fulgencio Batista y Zaldívar,0,0.6666666666666666,1,2,0,3737,162,3899,0,0,0,0
6633,"Question: Who was the original recording artist of the song which was chosen over If You've Got Trouble for the Beatles' ""Help!"" film?",Buck Owens and the Buckaroos,Buck Owens,0,0.6666666666666666,1,3,0,6104,231,6335,0,0,0,0
7272,Question: What political party was the 6th governor of Hawaii that passed bills to help with global warming in Hawaii?,null,Republican Party.,0,0.0,0,7,0,16045,460,16505,0,0,0,0
3969,"Question: Who lived longer, Tony Richardson or Giorgio Ferroni?",Giorgio Ferroni,Giorgio Ferroni,1,1.0,1,3,0,6065,293,6358,0,0,0,0
2187,Question: Who is a Brazilian mixed martial artist in the UFC who Namsaknoi Yudthagarngamtorn coached?,Rafael Dos Anjos,Rafael Souza dos Anjos,0,0.8571428571428571,1,3,0,6202,197,6399,0,0,0,0
