question_idx,question_text,answer,gt_answer,em,f1,n_calls,n_badcalls,input_tokens,output_tokens,total_tokens
4373,Claim: Edgar Wright is a singer.,REFUTES,NOT ENOUGH INFO,0,0,2,0,1936,66,2002
4411,Claim: Black Canary is a character in Batman comic books.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,2,0,2003,140,2143
7752,Claim: Noah Cyrus is the youngest daughter of Garth Brooks.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,7,0,10392,382,10774
2078,Claim: Yandex functions in Turkey.,NOT ENOUGH INFO,SUPPORTS,0,0,2,0,1982,86,2068
7777,Claim: The Cincinnati Kid was announced by Norman Jewison.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,2,0,1918,63,1981
7398,Claim: Viola Davis has played supporting and minor roles in radio and theater.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,2,0,1951,108,2059
2021,Claim: Miranda Otto is the only sister of actress Gracie Otto.,NOT ENOUGH INFO,NOT ENOUGH INFO,1,1,3,0,2908,150,3058
8755,Claim: Unfree labor is a result of human trafficking.,SUPPORTS,NOT ENOUGH INFO,0,0,6,0,7577,340,7917
4242,Claim: The Indian Army comprises a lot of people.,NOT ENOUGH INFO,SUPPORTS,0,0,3,0,3007,123,3130
5880,Claim: Melancholia was directed solely by an American gymnast.,REFUTES,REFUTES,1,1,5,0,5770,281,6051
